word,meaning,transliteration,menukad,part_of_speech,root,path_to_audio,gender,number,definite,binyan,tense,person,
חתול,🐈 cat,chatul,חָתוּל,PartOfSpeech.NOUN,,,masculine,singular,,,,
חתול,cat of ...,chatul-,חֲתוּל־,PartOfSpeech.NOUN,,,masculine,singular,,,,
חתול,"diaper, nappy",chitul,חִתּוּל,PartOfSpeech.NOUN,ח - ת - ל,,masculine,singular,,,,
חתול,diaper of ...,chitul-,חִתּוּל־,PartOfSpeech.NOUN,ח - ת - ל,,masculine,singular,,,,
כתב,he / it wrote,katav,כָּתַב,PartOfSpeech.VERB,כ - ת - ב,,masculine,singular,,Binyaan.PAAL,past,3rd person
כתב,(to a man) write!,ktov!,כְּתֹב!,PartOfSpeech.VERB,כ - ת - ב,,masculine,singular,,Binyaan.PAAL,,2nd person
כתב,"reporter, journalist",katav,כַּתָּב,PartOfSpeech.NOUN,כ - ת - ב,,masculine,singular,,,,
כתב,reporter of ...,katav-,כַּתַּב־,PartOfSpeech.NOUN,כ - ת - ב,,masculine,singular,,,,
כתב,"writing, script",ktav,כְּתָב,PartOfSpeech.NOUN,כ - ת - ב,,masculine,singular,,,,
כתב,writing of ...,ktav-,כְּתַב־,PartOfSpeech.NOUN,כ - ת - ב,,masculine,singular,,,,
כתב,(to a man) address!,katev!,כַּתֵּב!,PartOfSpeech.VERB,כ - ת - ב,,masculine,singular,,Binyaan.PIEL,,2nd person
כתב,he / it addressed,kitev,כִּתֵּב,PartOfSpeech.VERB,כ - ת - ב,,masculine,singular,,Binyaan.PIEL,past,3rd person
כתב,he / it was addressed,kutav,כֻּתַּב,PartOfSpeech.VERB,כ - ת - ב,,masculine,singular,,Binyaan.PIEL,past,3rd person
והיא,and she,hi,הִיא,,,https://translate.google.com/translate_tts?ie=UTF-8&q=hi&tl=he&client=tw-ob,,,,,,
דופקת,I / you f. sg. / she / it knock(s),dofeket,דּוֹפֶקֶת,PartOfSpeech.VERB,ד - פ - ק,,feminine,singular,,Binyaan.PAAL,present,
בחלון,in (the) window,chalon,חַלּוֹן,PartOfSpeech.NOUN,ח - ל - ל,,masculine,singular,,,,
בחלון,in (the) window of ...,chalon-,חַלּוֹן־,PartOfSpeech.NOUN,ח - ל - ל,,masculine,singular,,,,
קרן,he / it shone,karan,קָרַן,PartOfSpeech.VERB,ק - ר - ן,,masculine,singular,,Binyaan.PAAL,past,3rd person
קרן,(to a man) shine!,kran!,קְרַן!,PartOfSpeech.VERB,ק - ר - ן,,masculine,singular,,Binyaan.PAAL,,2nd person
קרן,"fund (finance), foundation",keren,קֶרֶן,PartOfSpeech.NOUN,ק - ר - ן,,feminine,singular,,,,
קרן,fund of ...,keren-,קֶרֶן־,PartOfSpeech.NOUN,ק - ר - ן,,feminine,singular,,,,
קרן,"horn (anatomy); ray, beam",keren,קֶרֶן,PartOfSpeech.NOUN,ק - ר - ן,,feminine,singular,,,,
קרן,horn of ...,keren-,קֶרֶן־,PartOfSpeech.NOUN,ק - ר - ן,,feminine,singular,,,,
